,Unnamed: 0,title,lyrics,label
0,0,You Know You’re Right,never bother never promise never follow never bother never speak word crawl away good move away wont afraid fear thought wa put always knew would come thing never swell never failed fail heeeeeeeeeey heeeeeeeeey heeeeeeeey know youre right know youre right know youre right im warm calm inside longer hide let talk someone else steaming soup mouth nothing really bother want love move away wont afraid fear thought wa put always knew itd come thing never swell never failed fail heeeeeeeeey heeeeeeeeey heeeeeeeeey heeeeeeeeey heeeeeeeeey know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right heeeeeeeeey know right heeeeeeeeey know right heeeeeeeeey know right heeeeeeeeey,Sadness
1,1,Here We Go,go big ego gon na get trouble trying play hero jean cant tight like michael phelps speedo play follow fashion lead looky big idea gon na get trouble amongst peer fear bother cry tear youre mile ahead im ahead light year come gong originally run fi grand finale fear regularly every hill valley im teach truth mister warm easy somebody please believe thing jah watching man wah likkle bomboclaated weh feel like big cause dem album charted well bad card disregarded punk cyaan finish weh bob marley started gong zilla im diehearted anywhere go dem roll red carpet man buy car nah house fi park nah unify dem selfish like market dem sell dem soul rewarded bleach dem skin dem favour dead rahtid soul corrupt dem blemish faulted real rastaman outsmarted gong one fi bwoy take chance ancient nazarite weh make red sea parted provide harvest drought shortage jah side ive got advantage come gong originally run fi grand finale fear regularly every hill valley im teach truth mister warm easy somebody please believe thing jah watching buy ticket show get early grab seat real gong house everything else counterfeit around part mystique ive busy speak ive winning streak ive feeling like wednesday surrounded week strong alone continue fi di justice seek doh follow dj cah dem swimming creek dem inna deeper shit time dem dem maker meet buy bullshit dont lose receipt bound fi self destruct mi ago lowe dem mek see dem sow weh dem reap dem think say jah seet stage show full demon club dem full freak dancehall full pagan dance like dem greek dem renk dem reek dem pop one week dem always overdweet turn cheek earth meek huh come gong originally run fi grand finale fear regularly every hill valley im teach truth mister warm easy somebody please believe thing jah watching thousand video shooting ten thousand chariot hundred thousand photo shoot million radio drop mi deejay til hoarse welcome people rock think silver spoon like drop inna mi lap sign billion autograph tour stop trade privacy privilege balance swap tony rebel say reggae put jamaica pon map disagree ive reaping crop first release wa 93 dem feed pon similac first grammy 23 tell one dem another tour 27 add math weight weh dem carry heavy like lock im veteran youngest exact ghetto people love bad im guessing opposite attract uptown born grow stony hill mark spot big gong zilla return mac,Tension
2,2,Jade,came lolita dressed venus adorned star deft allusion universe u showed skill word showed scar dont mistake kindness affection said dont ever let attention go head let death divide life join together remember nothing last forever jade benediction silent prayer jade exaltation colour wear jade contradiction naked never bare jade work work fiction nothing castle air shorter leash harder pull glass empty wa full wish could jesus turn water wine cause grape withered withered vine smile like mercury elusive fey beauty night cant seen day shes barbed wire angel insatiable cruel destroys resistance like dazzling jewel jade apostasy abandoned faith hope jade hypocrisy kaleidoscope jade precious stone impervious rare jade never atone flower hair jade never sleep alone always someone jade rest head thigh make moist dry hold breath every sigh pledge life die kiss sleep eye dry tear cry jade jade none jade moon sun jade everyone ive done jade lost jade bullet shot gun,Tenderness
3,3,Food For Thought,ivory madonna dying dust waiting manna coming west barren bosom empty eye death certain harvest scattered sky skin bone creeping doesnt know dead ancient eye peeping infant head politician argue sharpening knife drawing bargain trading baby life ivory madonna dying dust waiting manna coming west hear bell ringing christmas way hear angel singing say eat drink rejoicing joy hear stay jesus son mary born today ivory madonna dying dust waiting manna coming west ivory madonna dying dust waiting manna coming west,Sadness
4,4,I’ve Been Everywhere,wa totin pack along dusty winnemucca road along came semi high canvas covered load youre goin winnemucca mack ride climbed cab settled inside asked id seen road much dust sand said listen ive traveled every road land ive everywhere man ive everywhere man crossed desert bare man ive breathed mountain air man travel ive ahad share man ive everywhere ive reno chicago fargo minnesota buffalo toronto winslow sarasota wichita tulsa ottawa oklahoma tampa panama mattawa la paloma bangor baltimore salvador amarillo tocopilla barranquilla padilla im killer ive everywhere man ive everywhere man crossed desert bare man ive breathed mountain air man travel ive ahad share man ive everywhere ive boston charleston dayton louisiana washington houston kingston texarkana monterey faraday santa fe tallapoosa glen rock black rock little rock oskaloosa tennessee hennessey chicopee spirit lake grand lake devil lake crater lake petes sake ive everywhere man ive everywhere man crossed desert bare man ive breathed mountain air man travel ive ahad share man ive everywhere ive louisville nashville knoxville ombabika schefferville jacksonville waterville costa rica pittsfield springfield bakersfield shreveport hackensack cadillac fond du lac davenport idaho jellico argentina diamantina pasadena catalina see meana ive everywhere man ive everywhere man crossed desert bare man ive breathed mountain air man travel ive ahad share man ive everywhere ive pittsburgh parkersburg gravelbourg colorado ellensburg rexburg vicksburg el dorado larimore admore haverstraw chatanika chaska nebraska alaska opelaka baraboo waterloo kalamazoo kansa city sioux city cedar city dodge city pity ive everywhere man ive everywhere man crossed desert bare man ive breathed mountain air man travel ive ahad share man ive everywhere ive everywhere,Sadness
5,5,It’s Five O’Clock Somewhere,sun hot old clock movin slow work day pass like molasses wintertime july im gettin paid hour older minute bos pushed limit id like call somethin think ill call day pour somethin tall strong make hurricane go insane halfpast twelve dont care five oclock somewhere oh lunch break gon na take afternoon half night tomorrow mornin know therell hell pay hey thats right aint day year jamaican vacation gon na start right phone tell em sailed away pour somethin tall strong make hurricane go insane halfpast twelve dont care five oclock somewhere could pay tab pour cab back work two moment like cant help wonder would jimmy buffett funny ask alan id say pour somethin tall strong make hurricane go insane halfpast twelve dont care pour somethin tall strong make hurricane go insane halfpast twelve dont care dont care dont care five oclock somewhere time zone country doesnt matter five oclock somewhere always five margaritaville come think yeah heard havent yessir seen boat ive margaritaville time right thats good stumbled way back okay wan na make sure keep navigational beacon ha ha ha buoy tell right well five oclock let go somewhere im ready crank let get im gone,Sadness
6,6,Beautiful,beautiful want know youre favorite girl yeah oh yeah something beautiful want know youre favorite girl yeah oh yeah something know gon lose new snoop shit come baby boo gots get dont fool player cool whip yeah yeah know im always cool shit walk glass let put mood little cutie looking like student long hair ya big fat booty back day wa girl went school tell mom sister cool girl wan na might hit pimp pimp fluid mommy dont worry wont abuse hurry finish watch clueless laugh nigga ask everybody know ooh girl beautiful want know youre favorite girl yeah oh yeah something beautiful want know youre favorite girl yeah oh yeah something see baby boo shit get foolish smack nigga try pursue homeboy taken move asked nicely dont make dogg lose blow dro keep flow moving 64 baby boo cruisin body rag interior blue hydraulics squeaking screwing shes yelling hollering snoop hooting hollering hollering hooting black beautiful one im choosin hair long thin black curly like youre cuban keep grooving thats doin gon together mom move yeah oh yeah something beautiful want know youre favorite girl yeah oh yeah something beautiful want know youre favorite girl yeah oh yeah something see want know really special yeah oh yeah something oh oh oh oh see want know really special yeah oh yeah something oh oh oh oh yeah oh yeah something snoop dogg clothing thats im groomed got picture wall room girl complaining keep boomin girl like wan na listen pat boone yeah oh yeah something yous college girl dont stop doin come see dogg hood near dont ask roll crew twist finger wear dark blue yeah oh yeah something eastside thats crew choose nothing new smack world rude cause baby girl youre beautiful beautiful want know youre favorite girl beautiful want know youre favorite girl see want know really special yeah oh yeah something oh oh oh oh see want know really special yeah oh yeah something oh oh oh oh see want know really special yeah oh yeah something oh oh oh oh want know really special yeah oh yeah something oh oh oh oh ehh oh yeah something ohhooo ehh oh yeah something ohhooo ehh oh yeah something ohhooo,Tenderness
7,7,Hey You,hey cold getting lonely getting old feel hey standing aisle itchy foot fading smile feel hey dont help bury light dont give without fight hey sitting naked phone would touch hey ear wall waiting someone call could touch hey would help carry stone open heart im coming home wa fantasy wall wa high see matter tried could break free worm ate brain hey road always youre told help hey beyond wall breaking bottle hall help hey dont tell hope together stand divided fall fall fall fall fall fall fall fall fall,Sadness
8,8,Buddy,hello meany meany meany meany say meany meany meany meany say meany meany meany meany mean got ta dove meany meany meany meany say meany meany meany meany say meany meany meany meany mean okay hello soul troopin wit jungle patrol one ko knockout holdin buddy hold wait minute wait gon na talk buddy plate let herd gate make sure level straight jungle jungle brother brother de la soul soul black medallion gold hangin wit po hangin wit mase buddy buddy buddy face lap jimbrowski must wear cap case young girl like clap aint wind begin ill initiate buddy slap next im qtip tribe called quest quest buddy dont fes jimmy want nothin best best best ooh wee let stick jimmy see catch stick em stick em jimmy net wont needed unless jenny wan na get right flesh sweet little woman sweet little woman wont lie love buddy cause never let walk come jenny seem serious like peek freen buddy act occurs lift jenny jimmy start shootin gift boy let get shot wont even riff buddy buddy dont know make go nutty im glad youre fuddy duddy skinny chubby soft like silly putty miss crabtree hope youre mad cause told wa buddy wa making ever horny junglelistically horny dial buddy talk plug two qtip q tip side sometimes flip never gon na flip record buddy bud daisy tree luden doremi pleaser man plug 3 plug 3 get buddy behind bush buddy like way push like champ knock never ever sellin let loose juice buddy help de la soul keepin jimmy total control without jimmy id roll la la la lla la la la la la la lla la la la hey girl heard ya lookin good time quest soul well find whole lot fun lot fun together like kissin cousin yeah thats kinda clever close like bosom bosom stay close buddy boast like ethel mertz lucille macgillicuddy mine buddy best buddy evening wear long lovin let tru know feel sorry pay fare fee word dont beg tease buddy right leg ready whats said buddy best bed word fly buddy told u get circle said dont worry cause wont hurt really wan na freak freaked u watched checked swatch see time soul formed buddy line buddy wa mine mine tribe jungle de la soul club ritual unfolds grab bone start swingin hand jenny start flockin everywhere cause jenifa want stay aware yo fella keep aware mmm hmm yeah,Tenderness
9,9,Running Up That Hill,could id running hill could id running hill doesnt hurt want feel feel want know know doesnt hurt want hear deal im making running hill running hill could make deal god id get swap place running road running hill running building could oh dont want hurt see deep bullet lie unaware im tearing asunder thunder heart baby much hate one love tell matter dont running hill running hill wont unhappy could make deal god id get swap place running road running hill running building could oh cmon baby cmon cmon darling let steal moment cmon angel cmon cmon darling let exchange experience oh could make deal god get swap place running road running hill problem could make deal god id get swap place running road running hill problem could running hill could running hill could running hill could running hill could running hill could running hill could running hill,Tenderness
